name,description,price,period,features,discount_percentage,image_url,badge_color,is_featured,is_active,position,id,created_date,updated_date,created_by,is_sample
"Plano Comércio Premium","Mais visibilidade e recursos exclusivos","149.9","semestral","[""""Todos os recursos do plano básico"""",""""Destaque nas buscas"""",""""Galeria com até 15 fotos"""",""""Geolocalização avançada"""",""""Cupons e promoções"""",""""Relatórios detalhados"""",""""Suporte prioritário""""]","0","","#007BFF","true","true","2","68114922792b4bff8d72e099","2025-04-29T21:48:18.936000","2025-05-08T18:03:39.031000","contato.jrsn@gmail.com","false"
"Plano Comércio Master","Máxima exposição para seu negócio","299.9","mensal","[""""Todos os recursos do plano premium"""",""""Banner personalizado"""",""""Galeria ilimitada"""",""""Destaque em todas as páginas"""",""""Sistema de reservas online"""",""""API de integração"""",""""Gerente de conta dedicado""""]","null","null","null","false","true","3","68114922792b4bff8d72e09a","2025-04-29T21:48:18.936000","2025-05-08T18:06:54.602000","contato.jrsn@gmail.com","false"
"Corretor Básico","Plano ideal para corretores autônomos com até 5 anúncios ativos","59.9","mensal","[""""5 anúncios simultâneos"""",""""Painel de gerenciamento"""",""""Estatísticas de visualizações"""",""""Suporte por e-mail""""]","0","https://images.unsplash.com/photo-1560518883-ce09059eeffa?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTB8fHJlYWwlMjBlc3RhdGV8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60","#3B82F6","false","true","1","68192dde6974e026f00b9f4e","2025-05-05T21:30:06.359000","2025-05-05T21:30:06.359000","contato.jrsn@gmail.com","false"
"Imobiliária Premium","Ideal para imobiliárias com até 15 anúncios e destaque na plataforma","129.9","mensal","[""""15 anúncios simultâneos"""",""""2 anúncios em destaque"""",""""Banner na página principal"""",""""Painel de gerenciamento avançado"""",""""Estatísticas detalhadas"""",""""Suporte prioritário""""]","0","https://images.unsplash.com/photo-1592595896616-c37162298647?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTJ8fHJlYWwlMjBlc3RhdGV8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60","#10B981","true","true","2","68192dde6974e026f00b9f4f","2025-05-05T21:30:06.359000","2025-05-05T21:30:06.359000","contato.jrsn@gmail.com","false"
"Imobiliária Elite","Plano completo para imobiliárias que buscam máxima visibilidade","299.9","mensal","[""""50 anúncios simultâneos"""",""""10 anúncios em destaque"""",""""Banner exclusivo na página principal"""",""""Destaque nas buscas"""",""""Painel profissional completo"""",""""API para integração com sistemas próprios"""",""""Suporte VIP por WhatsApp""""]","0","https://images.unsplash.com/photo-1582407947304-fd86f028f716?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fHJlYWwlMjBlc3RhdGV8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60","#F59E0B","false","true","3","68192dde6974e026f00b9f50","2025-05-05T21:30:06.359000","2025-05-05T21:30:06.359000","contato.jrsn@gmail.com","false"
"Corretor Básico","Plano ideal para corretores autônomos com até 5 anúncios ativos","59.9","mensal","[""""5 anúncios simultâneos"""",""""Painel de gerenciamento"""",""""Estatísticas de visualizações"""",""""Suporte por e-mail""""]","0","https://images.unsplash.com/photo-1560518883-ce09059eeffa?auto=format&fit=crop&w=500&q=60","#3B82F6","false","true","1","68194906e5240b6855a5c02c","2025-05-05T23:25:58.150000","2025-05-05T23:25:58.150000","contato.jrsn@gmail.com","false"
"Imobiliária Premium","Ideal para imobiliárias com até 15 anúncios e destaque na plataforma","129.9","mensal","[""""15 anúncios simultâneos"""",""""2 anúncios em destaque"""",""""Banner na página principal"""",""""Painel de gerenciamento avançado"""",""""Estatísticas detalhadas"""",""""Suporte prioritário""""]","0","https://images.unsplash.com/photo-1592595896616-c37162298647?auto=format&fit=crop&w=500&q=60","#10B981","true","true","2","68194906e5240b6855a5c02d","2025-05-05T23:25:58.150000","2025-05-05T23:25:58.150000","contato.jrsn@gmail.com","false"
"Imobiliária Elite","Plano completo para imobiliárias que buscam máxima visibilidade","299.9","mensal","[""""50 anúncios simultâneos"""",""""10 anúncios em destaque"""",""""Banner exclusivo na página principal"""",""""Destaque nas buscas"""",""""Painel profissional completo"""",""""API para integração com sistemas próprios"""",""""Suporte VIP por WhatsApp""""]","0","https://images.unsplash.com/photo-1582407947304-fd86f028f716?auto=format&fit=crop&w=500&q=60","#F59E0B","false","true","3","68194906e5240b6855a5c02e","2025-05-05T23:25:58.150000","2025-05-05T23:25:58.150000","contato.jrsn@gmail.com","false"
"My houde beach","Descrição teste","57","mensal","[]","0","","#007BFF","true","true","0","681a0e2a82eb1aae69104cc8","2025-05-06T13:27:06.585000","2025-05-06T13:27:06.585000","contato.jrsn@gmail.com","false"
"Turista Iniciante","Plano ideal para quem visita SC ocasionalmente","9.9","mensal","[""""Acesso a mapas detalhados"""",""""Descontos em estabelecimentos parceiros"""",""""Dicas personalizadas de turismo""""]","0","","#007BFF","false","true","0","681a311ea93e24d4f15971a9","2025-05-06T15:56:14.366000","2025-05-08T18:08:47.786000","contato.jrsn@gmail.com","false"
"Comércio Essencial","Visibilidade básica para pequenos comércios","47.9","mensal","[""""Perfil de negócio"""",""""Até 5 fotos do estabelecimento"""",""""Destaque na busca por proximidade""""]","0","","#007BFF","false","true","0","681a311ea93e24d4f15971ad","2025-05-06T15:56:14.668000","2025-05-08T18:05:48.313000","contato.jrsn@gmail.com","false"
"Prestador Inicial","Para quem está começando a oferecer serviços","9.9","mensal","[""""Listagem de serviços"""",""""Recebimento de contatos"""",""""Avaliações de clientes""""]","0","","#007BFF","false","true","0","681a311ec316e853c19997dd","2025-05-06T15:56:14.984000","2025-05-08T18:12:18.233000","contato.jrsn@gmail.com","false"
